iter	Passed	Remaining
0	1	126
1	2	140
2	4	140
3	5	132
4	6	129
5	7	124
6	9	122
7	10	120
8	11	114
9	12	112
10	13	110
11	14	108
12	15	106
13	17	105
14	18	104
15	19	102
16	20	100
17	21	98
18	22	96
19	23	95
20	24	93
21	25	91
22	27	90
23	28	88
24	29	87
25	30	86
26	31	85
27	32	84
28	34	83
29	35	82
30	36	81
31	37	80
32	38	78
33	39	77
34	41	76
35	42	75
36	43	73
37	44	71
38	45	71
39	46	70
40	47	69
41	48	66
42	49	65
43	50	64
44	52	63
45	53	62
46	53	60
47	54	59
48	56	58
49	57	57
50	58	55
51	59	54
52	60	53
53	61	52
54	62	51
55	63	50
56	65	49
57	66	48
58	67	46
59	68	45
60	69	44
61	71	43
62	72	42
63	73	41
64	74	40
65	75	38
66	76	37
67	77	36
68	78	35
69	79	34
70	81	33
71	82	31
72	83	30
73	84	29
74	85	28
75	86	27
76	87	26
77	88	25
78	90	24
79	91	22
80	93	21
81	94	20
82	95	19
83	97	18
84	98	17
85	99	16
86	101	15
87	102	13
88	103	12
89	104	11
90	106	10
91	107	9
92	108	8
93	110	7
94	111	5
95	112	4
96	114	3
97	115	2
98	116	1
99	117	0
