iter	Passed	Remaining
0	0	900
1	1	807
2	2	745
3	2	719
4	3	682
5	4	691
6	4	690
7	5	681
8	6	678
9	6	667
10	7	658
11	7	650
12	8	646
13	9	646
14	9	640
15	10	639
16	10	634
17	11	636
18	12	636
19	12	633
20	13	634
21	14	636
22	14	634
23	15	632
24	16	628
25	16	625
26	17	621
27	17	621
28	18	618
29	19	616
30	19	617
31	20	618
32	21	619
33	21	619
34	22	626
35	23	634
36	24	634
37	25	639
38	26	642
39	26	643
40	27	642
41	28	640
42	28	639
43	29	637
44	30	637
45	30	634
46	31	631
47	31	629
48	32	628
49	33	627
50	33	625
51	34	623
52	34	622
53	35	619
54	35	617
55	36	616
56	37	613
57	37	610
58	39	622
59	39	622
60	40	620
61	40	618
62	41	615
63	42	614
64	42	614
65	43	614
66	43	612
67	44	610
68	45	608
69	45	607
70	46	606
71	46	605
72	47	604
73	48	603
74	48	602
75	49	601
76	50	599
77	50	599
78	51	598
79	51	597
80	52	598
81	53	597
82	53	593
83	54	591
84	55	592
85	55	591
86	56	591
87	57	591
88	57	590
89	58	589
90	58	588
91	59	588
92	60	587
93	60	587
94	61	587
95	62	585
96	62	583
97	63	582
98	63	580
99	64	580
100	65	579
101	65	578
102	66	577
103	66	576
104	67	576
105	68	575
106	68	573
107	69	573
108	70	573
109	70	571
110	71	570
111	71	569
112	72	569
113	73	567
114	73	566
115	74	565
116	74	563
117	75	562
118	75	561
119	76	560
120	77	559
121	77	557
122	78	556
123	78	555
124	79	555
125	79	554
126	80	553
127	80	551
128	81	550
129	82	550
130	82	549
131	83	548
132	84	548
133	84	547
134	85	546
135	86	546
136	86	545
137	87	544
138	87	543
139	88	542
140	89	542
141	89	540
142	89	539
143	90	538
144	91	537
145	91	535
146	92	535
147	92	534
148	93	534
149	94	533
150	94	533
151	95	532
152	96	532
153	96	530
154	97	530
155	97	529
156	98	529
157	99	529
158	99	528
159	100	528
160	100	526
161	101	525
162	102	524
163	102	524
164	103	523
165	104	523
166	104	522
167	105	522
168	106	521
169	106	520
170	107	520
171	107	519
172	108	519
173	109	518
174	109	517
175	110	516
176	110	515
177	111	514
178	111	513
179	112	512
180	113	512
181	113	511
182	114	511
183	115	510
184	115	510
185	116	509
186	116	508
187	117	507
188	118	507
189	118	506
190	119	505
191	119	504
192	120	504
193	121	503
194	121	502
195	122	501
196	122	500
197	123	500
198	124	499
199	124	498
200	125	498
201	126	497
202	126	497
203	127	496
204	127	495
205	128	495
206	129	494
207	129	493
208	130	493
209	131	492
210	131	491
211	132	491
212	132	490
213	133	490
214	133	489
215	134	488
216	135	488
217	135	487
218	136	486
219	136	485
220	137	484
221	137	483
222	138	482
223	139	482
224	139	481
225	140	480
226	140	479
227	141	479
228	142	478
229	142	478
230	143	477
231	144	477
232	144	477
233	145	476
234	146	476
235	146	475
236	147	474
237	147	473
238	148	473
239	149	472
240	149	471
241	150	470
242	150	470
243	151	469
244	152	468
245	152	468
246	153	467
247	153	466
248	154	466
249	155	465
250	155	464
251	156	463
252	156	462
253	157	462
254	158	461
255	158	461
256	159	461
257	160	460
258	160	459
259	161	458
260	161	458
261	162	457
262	162	456
263	163	456
264	164	455
265	164	455
266	165	454
267	166	453
268	166	453
269	167	452
270	168	452
271	168	451
272	169	450
273	169	450
274	170	449
275	171	448
276	171	448
277	172	447
278	173	447
279	173	447
280	174	447
281	175	446
282	176	445
283	176	445
284	177	444
285	177	444
286	178	443
287	179	442
288	179	442
289	180	441
290	181	441
291	181	440
292	182	440
293	183	439
294	183	439
295	184	438
296	184	437
297	185	437
298	186	436
299	186	435
300	187	435
301	188	434
302	188	434
303	189	433
304	189	432
305	190	432
306	191	432
307	192	431
308	192	431
309	193	430
310	194	430
311	194	429
312	195	428
313	195	427
314	196	427
315	197	426
316	197	426
317	198	425
318	198	424
319	199	423
320	200	423
321	200	422
322	201	422
323	202	421
324	202	420
325	203	420
326	204	419
327	204	419
328	205	418
329	205	418
